country,SPI,HDIrank,HDIindex,HDI_cat,happiness,gendereq,infantmort,birth_MF,sixty_MF,logGDP
Peru,68.75,89,0.747838987,High,5.700628757,0.686781708,0.0121,75.9,21.6,25.97888445
Philippines,62.68,113,0.695794333,Medium,5.430832863,0.786344666,0.0227,69.3,17.6,26.44321361
Poland,81.69,33,0.860419835,Very High,6.162076473,0.726739973,0.0041,77.8,21.8,26.87897283
Portugal,84.66,41,0.844715167,Very High,5.446637154,0.736894766,0.0031,81.5,24.5,26.04717297
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.37755946
Qatar,70.24,37,0.854897097,Very High,NA,0.642570967,0.0067,78.1,20.9,25.75011563
Romania,74.05,52,0.806921214,Very High,5.96887064,0.690152415,0.0072,75.2,20.1,25.95867535
Russia,68.94,49,0.81476565,Very High,5.85494566,0.690857737,0.0069,71.9,19.4,27.8815697
Rwanda,52.26,158,0.520302373,Low,3.332989931,0.799810858,0.0301,68,18.5,22.8604669
Samoa,NA,104,0.710787259,High,NA,NA,0.0145,75.1,20.1,20.48292057
San Marino,NA,NA,NA,NA,NA,NA,0.0021,NA,NA,21.18744502
São Tomé & Príncipe,59.78,NA,NA,NA,NA,NA,NA,NA,NA,19.68547987
Saudi Arabia,64.15,39,0.85396338,Very High,6.473921299,0.582871287,0.0067,74.8,18.7,27.19241692
Senegal,54.76,164,0.498704859,Low,4.59453392,0.685122894,0.0338,66.8,16.9,23.41000708
Serbia,71.49,67,0.785472748,High,5.752754688,0.720022825,0.0052,76.3,19.8,24.36871194
Seychelles,NA,62,0.793101871,High,NA,NA,0.0124,73.3,19.6,21.07808968
Sierra Leone,42.15,184,0.413487969,Low,4.732953072,NA,0.0847,53.1,13.3,21.99191243
Singapore,84.08,9,0.930104591,Very High,6.033480644,0.711583439,0.0022,82.9,25,26.45907655
Slovakia,79.83,38,0.85298009,Very High,5.993163109,0.678731712,0.0048,77.4,21.3,25.22050106
Slovenia,84.6,25,0.89354305,Very High,5.936821461,0.78552389,0.0018,80.9,23.7,24.52343168
Solomon Islands,47.2,152,0.54290989,Low,NA,NA,0.0181,71.1,17.7,20.93247202
Somalia,NA,NA,NA,NA,4.667941093,NA,0.0821,55.4,16.3,22.63320132
South Africa,65.17,113,0.695732454,Medium,4.769739628,0.763928749,0.03,63.6,16.6,26.41282429
South Korea,85.37,22,0.900357493,Very High,5.970564365,0.648623044,0.0029,82.7,25.3,27.97800929
South Sudan,NA,187,0.394198585,Low,2.888112307,NA,0.0625,58.6,16.6,21.7893945
Spain,86.72,26,0.888867093,Very High,6.318612099,0.738449115,0.0026,83.1,25.4,27.84392037
Sri Lanka,66.96,76,0.768077442,High,NA,0.673286918,0.0078,75.3,20.8,25.12740096
St. Kitts & Nevis,NA,72,0.774241641,High,NA,NA,0.0117,NA,NA,20.6287954
St. Lucia,NA,90,0.745008148,High,NA,NA,0.0153,75.6,22.1,21.23433865
St. Vincent & Grenadines,NA,99,0.721487485,High,NA,NA,0.0154,72,19.1,20.45611234
Sudan,37.36,167,0.499074846,Low,NA,NA,0.0448,65.1,17.9,25.28327525
Suriname,66.49,100,0.719455509,High,NA,0.67855246,0.0181,71.8,19.2,21.91062906
Swaziland,48.55,144,0.586152855,Medium,NA,0.665460177,0.0412,57.7,16,22.03716405
Sweden,88.63,7,0.931583906,Very High,7.368744373,0.815412853,0.0024,82.4,24.6,26.96638364
Switzerland,89.04,2,0.943188682,Very High,7.458519936,0.775890803,0.0038,83.3,25.5,27.22866866
Syria,NA,155,0.535640798,Low,NA,0.567310644,0.0141,63.8,18.5,NA
Taiwan,NA,NA,NA,NA,6.512850761,NA,NA,NA,NA,NA
Tajikistan,52.15,127,0.646811871,Medium,5.103721142,0.679321271,0.0303,70.8,17.7,22.66224591
Tanzania,49.9,154,0.533176034,Low,2.90273428,0.71572599,0.0397,63.9,17.5,24.58164322
Thailand,66.72,83,0.748049901,High,6.07363987,0.69906464,0.0085,75.5,22.1,26.74369435
Timor-Leste,53.57,132,0.63143245,Medium,NA,0.636662293,0.0422,68.6,17.1,21.64792453
Togo,46.49,165,0.500159877,Low,3.878578424,NA,0.0505,60.6,15.3,22.20226917
Tonga,NA,98,0.723650296,High,NA,NA,0.0141,73.4,18.9,19.81087252
Trinidad & Tobago,NA,69,0.784578578,High,NA,0.72291745,0.0238,71.8,19.6,23.82874935
Tunisia,71.74,95,0.732353677,High,4.521453381,0.635916701,0.0116,76,20.1,24.46242362
Turkey,67.26,64,0.786851155,High,5.326221943,0.623026637,0.0108,76.4,21.2,27.48451679
Turkmenistan,NA,108,0.704541428,High,5.887051582,NA,0.0417,68.2,17.4,24.31176916
Tuvalu,NA,NA,NA,NA,NA,NA,0.0217,NA,NA,17.41481021
Uganda,NA,162,0.508106262,Low,4.233261108,0.703670066,0.037,62.5,17.1,23.90460309
Ukraine,67.57,88,0.74608888,High,4.028690338,0.699811759,0.0078,72.5,19.1,25.25876949
United Arab Emirates,74.58,34,0.862179916,Very High,6.83095026,0.639027559,0.0077,77.2,20.2,26.60112766
United Kingdom,88.47,14,0.920213967,Very High,6.8242836,0.752134601,0.0037,81.4,24.2,28.60590146
United States,86.4,13,0.922392874,Very High,6.803599834,0.721992348,0.0057,78.5,23.3,30.55549903
Uruguay,80.12,55,0.802141194,Very High,6.171485424,0.680505335,0.0073,77.1,22.3,24.6876462
Uzbekistan,56.36,105,0.702965915,High,5.892539024,NA,0.0213,72.3,18.4,24.9289664
Vanuatu,NA,138,0.600462089,Medium,NA,NA,0.0232,72,18.2,20.48493576
Venezuela,NA,78,0.765861906,High,4.041114807,0.693707084,0.0222,74.1,21.6,NA
Vietnam,NA,116,0.688646521,Medium,5.062267303,0.700444142,0.017,76.3,22.7,26.04762125
Yemen,38.22,178,0.46158713,Low,3.825630903,0.51621665,0.0432,65.3,16.4,23.6254195
Zambia,NA,144,0.585757048,Medium,4.347543716,NA,0.043,62.3,17.5,23.7656314
Zimbabwe,42.59,156,0.531995131,Low,3.7354002,0.710286081,0.0382,61.4,17.5,23.53387024
